,unnamed:_0,name,number,dob,age,country,height,foot,contract,signed_from,signing_fee,position,market_value,season,team
0,0,Jonas Urbig,40,2003-08-08,22,Deutschland,189.0,beidfüßig,2029-06-30,1.FC Köln,7000000.0,Torwart,18000000.0,2026,fc-bayern-munchen
1,1,Manuel Neuer,1,1986-03-27,40,Deutschland,193.0,rechts,2027-06-30,FC Schalke 04,30000000.0,Torwart,4000000.0,2026,fc-bayern-munchen
2,2,Sven Ulreich,26,1988-08-03,38,Deutschland,192.0,rechts,2027-06-30,Hamburger SV,,Torwart,500000.0,2026,fc-bayern-munchen
3,3,Dayot Upamecano,2,1998-10-27,27,Frankreich,186.0,rechts,2030-06-30,RB Leipzig,42500000.0,Innenverteidiger,75000000.0,2026,fc-bayern-munchen
4,4,Jonathan Tah,4,1996-02-11,30,Deutschland,195.0,rechts,2029-06-30,Bayer 04 Leverkusen,2000000.0,Innenverteidiger,28000000.0,2026,fc-bayern-munchen
5,5,Min-jae Kim,3,1996-11-15,29,Südkorea,190.0,rechts,2028-06-30,SSC Neapel,50000000.0,Innenverteidiger,20000000.0,2026,fc-bayern-munchen
6,6,Hiroki Ito,21,1999-05-12,27,Japan,188.0,links,2028-06-30,VfB Stuttgart,23500000.0,Innenverteidiger,18000000.0,2026,fc-bayern-munchen
7,7,Tarek Buchmann,28,2005-02-28,21,Deutschland,188.0,rechts,2027-06-30,FC Bayern München U19,,Innenverteidiger,300000.0,2026,fc-bayern-munchen
8,8,Nathaniel Brown,11,2003-06-16,23,Deutschland,176.0,links,2031-06-30,Eintracht Frankfurt,50000000.0,Linker Verteidiger,50000000.0,2026,fc-bayern-munchen
9,9,Alphonso Davies,19,2000-11-02,25,Kanada,183.0,links,2030-06-30,Vancouver Whitecaps FC,14000000.0,Linker Verteidiger,40000000.0,2026,fc-bayern-munchen
10,10,Josip Stanisic,44,2000-04-02,26,Kroatien,187.0,beidfüßig,2029-06-30,FC Bayern München II,,Rechter Verteidiger,40000000.0,2026,fc-bayern-munchen
11,11,Konrad Laimer,27,1997-05-27,29,Österreich,180.0,rechts,2029-06-30,RB Leipzig,,Rechter Verteidiger,32000000.0,2026,fc-bayern-munchen
12,12,Sacha Boey,23,2000-09-13,25,Frankreich,178.0,rechts,2028-06-30,Galatasaray,30000000.0,Rechter Verteidiger,10000000.0,2026,fc-bayern-munchen
13,13,Aleksandar Pavlovic,45,2004-05-03,22,Deutschland,188.0,beidfüßig,2029-06-30,FC Bayern München II,,Defensives Mittelfeld,90000000.0,2026,fc-bayern-munchen
14,14,Joshua Kimmich,6,1995-02-08,31,Deutschland,177.0,rechts,2029-06-30,VfB Stuttgart,9500000.0,Defensives Mittelfeld,35000000.0,2026,fc-bayern-munchen
15,15,João Palhinha,16,1995-07-09,31,Portugal,190.0,rechts,2028-06-30,FC Fulham,51000000.0,Defensives Mittelfeld,15000000.0,2026,fc-bayern-munchen
16,16,David Santos Daiber,47,2007-01-10,19,Portugal,185.0,rechts,2030-06-30,,,Defensives Mittelfeld,3000000.0,2026,fc-bayern-munchen
17,17,Tom Bischof,8,2005-06-28,21,Deutschland,176.0,links,2029-06-30,TSG 1899 Hoffenheim,300000.0,Zentrales Mittelfeld,40000000.0,2026,fc-bayern-munchen
18,18,Felipe Chávez,30,2007-04-10,19,Peru,177.0,beidfüßig,2027-06-30,FC Bayern München II,,Zentrales Mittelfeld,4000000.0,2026,fc-bayern-munchen
19,19,Jamal Musiala,10,2003-02-26,23,Deutschland,184.0,rechts,2030-06-30,FC Bayern München U19,,Offensives Mittelfeld,100000000.0,2026,fc-bayern-munchen
20,20,Lennart Karl,42,2008-02-22,18,Deutschland,168.0,links,2029-06-30,FC Bayern München U19,,Offensives Mittelfeld,60000000.0,2026,fc-bayern-munchen
