name,number,dob,age,country,height,foot,contract,signed_from,signing_fee,position,market_value,season,team
Jonas Urbig,40,2003-08-08,22,Deutschland,189.0,beidfüßig,30.06.2029,1.FC Köln,7000000.0,Torwart,18000000.0,2026,fc-bayern-munchen
Manuel Neuer,1,1986-03-27,40,Deutschland,193.0,rechts,30.06.2027,FC Schalke 04,30000000.0,Torwart,4000000.0,2026,fc-bayern-munchen
Sven Ulreich,26,1988-08-03,38,Deutschland,192.0,rechts,30.06.2027,Hamburger SV,,Torwart,500000.0,2026,fc-bayern-munchen
Dayot Upamecano,2,1998-10-27,27,Frankreich,186.0,rechts,30.06.2030,RB Leipzig,42500000.0,Innenverteidiger,75000000.0,2026,fc-bayern-munchen
Jonathan Tah,4,1996-02-11,30,Deutschland,195.0,rechts,30.06.2029,Bayer 04 Leverkusen,2000000.0,Innenverteidiger,28000000.0,2026,fc-bayern-munchen
Min-jae Kim,3,1996-11-15,29,Südkorea,190.0,rechts,30.06.2028,SSC Neapel,50000000.0,Innenverteidiger,20000000.0,2026,fc-bayern-munchen
Hiroki Ito,21,1999-05-12,27,Japan,188.0,links,30.06.2028,VfB Stuttgart,23500000.0,Innenverteidiger,18000000.0,2026,fc-bayern-munchen
Tarek Buchmann,28,2005-02-28,21,Deutschland,188.0,rechts,30.06.2027,FC Bayern München U19,,Innenverteidiger,300000.0,2026,fc-bayern-munchen
Nathaniel Brown,11,2003-06-16,23,Deutschland,176.0,links,30.06.2031,Eintracht Frankfurt,50000000.0,Linker Verteidiger,50000000.0,2026,fc-bayern-munchen
Alphonso Davies,19,2000-11-02,25,Kanada,183.0,links,30.06.2030,Vancouver Whitecaps FC,14000000.0,Linker Verteidiger,40000000.0,2026,fc-bayern-munchen
Josip Stanisic,44,2000-04-02,26,Kroatien,187.0,beidfüßig,30.06.2029,FC Bayern München II,,Rechter Verteidiger,40000000.0,2026,fc-bayern-munchen
Konrad Laimer,27,1997-05-27,29,Österreich,180.0,rechts,30.06.2029,RB Leipzig,,Rechter Verteidiger,32000000.0,2026,fc-bayern-munchen
Sacha Boey,23,2000-09-13,25,Frankreich,178.0,rechts,30.06.2028,Galatasaray,30000000.0,Rechter Verteidiger,10000000.0,2026,fc-bayern-munchen
Aleksandar Pavlovic,45,2004-05-03,22,Deutschland,188.0,beidfüßig,30.06.2029,FC Bayern München II,,Defensives Mittelfeld,90000000.0,2026,fc-bayern-munchen
Joshua Kimmich,6,1995-02-08,31,Deutschland,177.0,rechts,30.06.2029,VfB Stuttgart,9500000.0,Defensives Mittelfeld,35000000.0,2026,fc-bayern-munchen
João Palhinha,16,1995-07-09,31,Portugal,190.0,rechts,30.06.2028,FC Fulham,51000000.0,Defensives Mittelfeld,15000000.0,2026,fc-bayern-munchen
David Santos Daiber,47,2007-01-10,19,Portugal,185.0,rechts,30.06.2030,,,Defensives Mittelfeld,3000000.0,2026,fc-bayern-munchen
Tom Bischof,8,2005-06-28,21,Deutschland,176.0,links,30.06.2029,TSG 1899 Hoffenheim,300000.0,Zentrales Mittelfeld,40000000.0,2026,fc-bayern-munchen
Felipe Chávez,30,2007-04-10,19,Peru,177.0,beidfüßig,30.06.2027,FC Bayern München II,,Zentrales Mittelfeld,4000000.0,2026,fc-bayern-munchen
Jamal Musiala,10,2003-02-26,23,Deutschland,184.0,rechts,30.06.2030,FC Bayern München U19,,Offensives Mittelfeld,100000000.0,2026,fc-bayern-munchen
Lennart Karl,42,2008-02-22,18,Deutschland,168.0,links,30.06.2029,FC Bayern München U19,,Offensives Mittelfeld,60000000.0,2026,fc-bayern-munchen
Ismael Saibari,34,2001-01-28,25,Marokko,185.0,rechts,30.06.2031,PSV Eindhoven,50000000.0,Offensives Mittelfeld,55000000.0,2026,fc-bayern-munchen
Arijon Ibrahimovic,22,2005-12-11,20,Deutschland,178.0,rechts,30.06.2028,FC Bayern München U19,,Offensives Mittelfeld,10000000.0,2026,fc-bayern-munchen
Luis Díaz,14,1997-01-13,29,Kolumbien,179.0,rechts,30.06.2029,FC Liverpool,70000000.0,Linksaußen,70000000.0,2026,fc-bayern-munchen
Bryan Zaragoza,,2001-09-09,24,Spanien,164.0,rechts,30.06.2029,FC Granada,13000000.0,Linksaußen,8000000.0,2026,fc-bayern-munchen
Michael Olise,17,2001-12-12,24,Frankreich,180.0,links,30.06.2029,Crystal Palace,53000000.0,Rechtsaußen,170000000.0,2026,fc-bayern-munchen
Serge Gnabry,7,1995-07-14,31,Deutschland,176.0,rechts,30.06.2028,SV Werder Bremen,8000000.0,Hängende Spitze,18000000.0,2026,fc-bayern-munchen
Armindo Sieb,36,2003-02-17,23,Deutschland,175.0,beidfüßig,30.06.2027,SpVgg Greuther Fürth,1500000.0,Hängende Spitze,2500000.0,2026,fc-bayern-munchen
Harry Kane,9,1993-07-28,33,England,188.0,rechts,30.06.2027,Tottenham Hotspur,95000000.0,Mittelstürmer,60000000.0,2026,fc-bayern-munchen
Maarten Vandevoordt,26,2002-02-26,24,Belgien,192.0,rechts,30.06.2030,KRC Genk,10000000.0,Torwart,15000000.0,2026,rasenballsport-leipzig
Péter Gulácsi,1,1990-05-06,36,Ungarn,193.0,rechts,30.06.2027,FC Red Bull Salzburg,3000000.0,Torwart,1000000.0,2026,rasenballsport-leipzig
Leopold Zingerle,25,1994-04-10,32,Deutschland,182.0,rechts,30.06.2028,SC Paderborn 07,,Torwart,300000.0,2026,rasenballsport-leipzig
Castello Lukeba,23,2002-12-17,23,Frankreich,184.0,links,30.06.2029,Olympique Lyon,30000000.0,Innenverteidiger,50000000.0,2026,rasenballsport-leipzig
Maxime Estève,3,2002-05-26,24,Frankreich,193.0,links,30.06.2031,FC Burnley,25000000.0,Innenverteidiger,28000000.0,2026,rasenballsport-leipzig
El Chadaille Bitshiabu,5,2005-05-16,21,Frankreich,196.0,links,30.06.2029,Paris Saint-Germain,15000000.0,Innenverteidiger,18000000.0,2026,rasenballsport-leipzig
Abdoul Koné,2,2005-04-22,21,Frankreich,192.0,rechts,30.06.2031,Stade Reims,17000000.0,Innenverteidiger,15000000.0,2026,rasenballsport-leipzig
Willi Orbán,4,1992-11-03,33,Ungarn,186.0,rechts,30.06.2027,1.FC Kaiserslautern,2000000.0,Innenverteidiger,5000000.0,2026,rasenballsport-leipzig
Lukas Klostermann,16,1996-06-03,30,Deutschland,189.0,rechts,30.06.2028,VfL Bochum,1000000.0,Innenverteidiger,3500000.0,2026,rasenballsport-leipzig
David Raum,22,1998-04-22,28,Deutschland,181.0,links,30.06.2027,TSG 1899 Hoffenheim,26000000.0,Linker Verteidiger,25000000.0,2026,rasenballsport-leipzig
Max Finkgräfe,35,2004-03-27,22,Deutschland,183.0,links,30.06.2030,1.FC Köln,4000000.0,Linker Verteidiger,5000000.0,2026,rasenballsport-leipzig
Lutsharel Geertruida,,2000-07-18,26,Niederlande,184.0,rechts,30.06.2029,Feyenoord Rotterdam,20000000.0,Rechter Verteidiger,20000000.0,2026,rasenballsport-leipzig
Ridle Baku,17,1998-04-08,28,Deutschland,176.0,rechts,30.06.2027,VfL Wolfsburg,4500000.0,Rechter Verteidiger,12000000.0,2026,rasenballsport-leipzig
Benjamin Henrichs,39,1997-02-23,29,Deutschland,185.0,rechts,30.06.2028,AS Monaco,15000000.0,Rechter Verteidiger,7000000.0,2026,rasenballsport-leipzig
Nicolas Seiwald,13,2001-05-04,25,Österreich,179.0,rechts,30.06.2028,FC Red Bull Salzburg,20000000.0,Defensives Mittelfeld,25000000.0,2026,rasenballsport-leipzig
Arthur Vermeeren,48,2005-02-07,21,Belgien,180.0,rechts,30.06.2029,Atlético Madrid,20000000.0,Defensives Mittelfeld,20000000.0,2026,rasenballsport-leipzig
Benno Kaltefleiter,37,2008-02-14,18,Deutschland,189.0,rechts,30.06.2029,RB Leipzig U19,,Defensives Mittelfeld,,2026,rasenballsport-leipzig
Assan Ouédraogo,8,2006-05-09,20,Deutschland,191.0,rechts,30.06.2029,FC Schalke 04,10000000.0,Zentrales Mittelfeld,28000000.0,2026,rasenballsport-leipzig
Rocco Reitz,20,2002-05-29,24,Deutschland,176.0,rechts,30.06.2031,Borussia Mönchengladbach,20000000.0,Zentrales Mittelfeld,20000000.0,2026,rasenballsport-leipzig
Ezechiel Banzuzi,6,2005-02-16,21,Niederlande,191.0,rechts,30.06.2030,Oud-Heverlee Leuven,16000000.0,Zentrales Mittelfeld,16000000.0,2026,rasenballsport-leipzig
Joyeux Masanka Bungi,,2007-01-24,19,Belgien,186.0,links,30.06.2027,RB Leipzig U19,,Linkes Mittelfeld,400000.0,2026,rasenballsport-leipzig
Christoph Baumgartner,14,1999-08-01,27,Österreich,180.0,rechts,30.06.2028,TSG 1899 Hoffenheim,25500000.0,Offensives Mittelfeld,40000000.0,2026,rasenballsport-leipzig
Brajan Gruda,10,2004-05-31,22,Deutschland,178.0,links,30.06.2027,Brighton & Hove Albion,1000000.0,Offensives Mittelfeld,28000000.0,2026,rasenballsport-leipzig
Eljif Elmas,19,1999-09-24,26,Nordmazedonien,184.0,rechts,30.06.2028,SSC Neapel,24000000.0,Offensives Mittelfeld,13000000.0,2026,rasenballsport-leipzig
Andrija Maksimovic,33,2007-06-05,19,Serbien,182.0,links,30.06.2030,Roter Stern Belgrad,14100000.0,Offensives Mittelfeld,9000000.0,2026,rasenballsport-leipzig
Viggo Gebel,47,2007-11-22,18,Deutschland,175.0,rechts,30.06.2028,RB Leipzig U19,,Offensives Mittelfeld,350000.0,2026,rasenballsport-leipzig
Antonio Nusa,7,2005-04-17,21,Norwegen,183.0,rechts,30.06.2029,Club Brügge,21000000.0,Linksaußen,32000000.0,2026,rasenballsport-leipzig
Suleman Sani,18,2006-09-01,19,Nigeria,175.0,rechts,30.06.2031,AS Trencin,5000000.0,Linksaußen,5000000.0,2026,rasenballsport-leipzig
Tidiam Gomis,27,2006-08-08,19,Frankreich,183.0,rechts,30.06.2029,SM Caen,1000000.0,Linksaußen,5000000.0,2026,rasenballsport-leipzig
Ayodele Thomas,21,2007-07-23,19,Niederlande,177.0,rechts,30.06.2031,PSV Eindhoven II,400000.0,Linksaußen,1000000.0,2026,rasenballsport-leipzig
Yan Diomande,49,2006-11-14,19,Elfenbeinküste,180.0,rechts,30.06.2030,CD Leganés,20000000.0,Rechtsaußen,90000000.0,2026,rasenballsport-leipzig
Johan Bakayoko,11,2003-04-20,23,Belgien,179.0,links,30.06.2030,PSV Eindhoven,18000000.0,Rechtsaußen,20000000.0,2026,rasenballsport-leipzig
Rômulo,40,2002-02-08,24,Brasilien,193.0,rechts,30.06.2030,Göztepe,20500000.0,Mittelstürmer,30000000.0,2026,rasenballsport-leipzig
Conrad Harder,9,2005-04-07,21,Dänemark,185.0,links,30.06.2030,Sporting Lissabon,24000000.0,Mittelstürmer,17000000.0,2026,rasenballsport-leipzig
Robert Ramsak,,2006-10-28,19,Deutschland,185.0,rechts,30.06.2027,RB Leipzig U19,,Mittelstürmer,250000.0,2026,rasenballsport-leipzig
Gregor Kobel,1,1997-12-06,28,Schweiz,196.0,rechts,30.06.2028,VfB Stuttgart,15000000.0,Torwart,40000000.0,2026,borussia-dortmund
Diant Ramaj,32,2001-09-19,24,Deutschland,189.0,rechts,30.06.2029,Ajax Amsterdam,5000000.0,Torwart,7000000.0,2026,borussia-dortmund
Alexander Meyer,33,1991-04-13,35,Deutschland,195.0,rechts,30.06.2027,SSV Jahn Regensburg,,Torwart,500000.0,2026,borussia-dortmund
Patrick Drewes,30,1993-02-04,33,Deutschland,194.0,rechts,30.06.2027,VfL Bochum,200000.0,Torwart,300000.0,2026,borussia-dortmund
Silas Ostrzinski,31,2003-11-19,22,Deutschland,198.0,rechts,30.06.2027,Borussia Dortmund II,,Torwart,200000.0,2026,borussia-dortmund
Nico Schlotterbeck,4,1999-12-01,26,Deutschland,191.0,links,30.06.2031,SC Freiburg,20000000.0,Innenverteidiger,55000000.0,2026,borussia-dortmund
Joane Gadou,22,2007-01-17,19,Frankreich,195.0,rechts,30.06.2031,FC Red Bull Salzburg,19500000.0,Innenverteidiger,20000000.0,2026,borussia-dortmund
Waldemar Anton,3,1996-07-20,30,Deutschland,189.0,rechts,30.06.2028,VfB Stuttgart,22500000.0,Innenverteidiger,18000000.0,2026,borussia-dortmund
Luca Reggiani,49,2008-01-09,18,Italien,194.0,rechts,,Borussia Dortmund U19,,Innenverteidiger,10000000.0,2026,borussia-dortmund
Ramy Bensebaini,5,1995-04-16,31,Algerien,187.0,links,30.06.2027,Borussia Mönchengladbach,,Innenverteidiger,7000000.0,2026,borussia-dortmund
Emre Can,23,1994-01-12,32,Deutschland,186.0,rechts,30.06.2027,Juventus Turin,25000000.0,Innenverteidiger,3000000.0,2026,borussia-dortmund
Filippo Mane,39,2005-03-08,21,Italien,188.0,rechts,30.06.2028,Borussia Dortmund II,,Innenverteidiger,2500000.0,2026,borussia-dortmund
Daniel Svensson,24,2002-02-12,24,Schweden,183.0,links,30.06.2029,FC Nordsjaelland,6500000.0,Linker Verteidiger,22000000.0,2026,borussia-dortmund
Almugera Kabar,42,2006-06-06,20,Deutschland,186.0,links,30.06.2028,Borussia Dortmund U19,,Linker Verteidiger,3000000.0,2026,borussia-dortmund
Julian Ryerson,26,1997-11-17,28,Norwegen,183.0,rechts,30.06.2028,1.FC Union Berlin,5000000.0,Rechter Verteidiger,25000000.0,2026,borussia-dortmund
Yan Couto,2,2002-06-03,24,Brasilien,168.0,rechts,30.06.2030,Manchester City,20000000.0,Rechter Verteidiger,17000000.0,2026,borussia-dortmund
Mussa Kaba,48,2008-11-17,17,Deutschland,196.0,rechts,30.06.2031,Borussia Dortmund II,,Defensives Mittelfeld,200000.0,2026,borussia-dortmund
Felix Nmecha,8,2000-10-10,25,Deutschland,190.0,rechts,30.06.2030,VfL Wolfsburg,30000000.0,Zentrales Mittelfeld,55000000.0,2026,borussia-dortmund
Jobe Bellingham,7,2005-09-23,20,England,191.0,rechts,30.06.2030,AFC Sunderland,30500000.0,Zentrales Mittelfeld,40000000.0,2026,borussia-dortmund
Carney Chukwuemeka,17,2003-10-20,22,Österreich,187.0,rechts,30.06.2030,FC Chelsea,20000000.0,Zentrales Mittelfeld,20000000.0,2026,borussia-dortmund
Marcel Sabitzer,20,1994-03-17,32,Österreich,178.0,rechts,30.06.2027,FC Bayern München,19000000.0,Zentrales Mittelfeld,6000000.0,2026,borussia-dortmund
Konstantinos Karetsas,19,2007-11-19,18,Griechenland,173.0,links,30.06.2031,KRC Genk,30000000.0,Offensives Mittelfeld,35000000.0,2026,borussia-dortmund
Justin Lerma,28,2008-05-05,18,Ecuador,176.0,rechts,30.06.2031,Independiente del Valle,4000000.0,Offensives Mittelfeld,3200000.0,2026,borussia-dortmund
Mathis Albert,41,2009-05-21,17,Vereinigte Staaten,179.0,rechts,30.06.2027,Borussia Dortmund II,,Linksaußen,300000.0,2026,borussia-dortmund
Samuele Inácio,40,2008-04-02,18,Italien,176.0,rechts,30.06.2029,Borussia Dortmund II,,Hängende Spitze,15000000.0,2026,borussia-dortmund
Maximilian Beier,14,2002-10-17,23,Deutschland,185.0,rechts,30.06.2029,TSG 1899 Hoffenheim,28500000.0,Mittelstürmer,40000000.0,2026,borussia-dortmund
Serhou Guirassy,9,1996-03-12,30,Guinea,187.0,rechts,30.06.2028,VfB Stuttgart,18000000.0,Mittelstürmer,32000000.0,2026,borussia-dortmund
Fábio Silva,21,2002-07-19,24,Portugal,185.0,rechts,30.06.2030,Wolverhampton Wanderers,22500000.0,Mittelstürmer,22000000.0,2026,borussia-dortmund
Mark Flekken,1,1993-06-13,33,Niederlande,195.0,beidfüßig,30.06.2028,FC Brentford,11000000.0,Torwart,6000000.0,2026,bayer-04-leverkusen
Janis Blaswich,28,1991-05-02,35,Deutschland,193.0,rechts,30.06.2027,RB Leipzig,2000000.0,Torwart,700000.0,2026,bayer-04-leverkusen
Niklas Lomb,36,1993-07-28,33,Deutschland,186.0,rechts,30.06.2027,Bayer 04 Leverkusen U19,,Torwart,250000.0,2026,bayer-04-leverkusen
Jarell Quansah,4,2003-01-29,23,England,190.0,rechts,30.06.2030,FC Liverpool,35000000.0,Innenverteidiger,45000000.0,2026,bayer-04-leverkusen
Edmond Tapsoba,12,1999-02-02,27,Burkina Faso,194.0,rechts,30.06.2031,Vitória Guimarães SC,20200000.0,Innenverteidiger,35000000.0,2026,bayer-04-leverkusen
Loïc Badé,5,2000-04-11,26,Frankreich,191.0,rechts,30.06.2030,FC Sevilla,25000000.0,Innenverteidiger,20000000.0,2026,bayer-04-leverkusen
Jeanuël Belocian,44,2005-02-17,21,Frankreich,186.0,links,30.06.2029,FC Stade Rennes,15000000.0,Innenverteidiger,12000000.0,2026,bayer-04-leverkusen
Axel Tape,16,2007-08-10,18,Frankreich,180.0,rechts,30.06.2030,Paris Saint-Germain Espoirs,,Innenverteidiger,8000000.0,2026,bayer-04-leverkusen
Tim Oermann,15,2003-10-06,22,Deutschland,189.0,rechts,30.06.2029,VfL Bochum,1900000.0,Innenverteidiger,4000000.0,2026,bayer-04-leverkusen
Arthur,13,2003-03-17,23,Brasilien,174.0,rechts,30.06.2031,América FC (MG),7000000.0,Rechter Verteidiger,8000000.0,2026,bayer-04-leverkusen
Lucas Vázquez,21,1991-07-01,35,Spanien,173.0,rechts,30.06.2027,Real Madrid,,Rechter Verteidiger,1500000.0,2026,bayer-04-leverkusen
Equi Fernández,6,2002-07-25,24,Argentinien,178.0,links,30.06.2030,Al-Qadsiah FC,25000000.0,Defensives Mittelfeld,20000000.0,2026,bayer-04-leverkusen
Kennet Eichhorn,18,2009-07-27,17,Deutschland,186.0,rechts,30.06.2031,Hertha BSC,9000000.0,Defensives Mittelfeld,20000000.0,2026,bayer-04-leverkusen
Robert Andrich,8,1994-09-22,31,Deutschland,187.0,rechts,30.06.2028,1.FC Union Berlin,6500000.0,Defensives Mittelfeld,6000000.0,2026,bayer-04-leverkusen
Exequiel Palacios,25,1998-10-05,27,Argentinien,177.0,rechts,30.06.2030,CA River Plate,17000000.0,Zentrales Mittelfeld,25000000.0,2026,bayer-04-leverkusen
Aleix García,24,1997-06-28,29,Spanien,173.0,rechts,30.06.2029,FC Girona,18000000.0,Zentrales Mittelfeld,20000000.0,2026,bayer-04-leverkusen
Noah Mbamba,31,2005-01-05,21,Belgien,196.0,rechts,30.06.2028,Club Brügge,100000.0,Zentrales Mittelfeld,2000000.0,2026,bayer-04-leverkusen
Naba Mensah,,2007-05-08,19,Deutschland,,beidfüßig,30.06.2027,Bayer 04 Leverkusen U19,,Zentrales Mittelfeld,,2026,bayer-04-leverkusen
Ibrahim Maza,30,2005-11-24,20,Algerien,180.0,rechts,30.06.2030,Hertha BSC,12000000.0,Offensives Mittelfeld,45000000.0,2026,bayer-04-leverkusen
Malik Tillman,10,2002-05-28,24,Vereinigte Staaten,187.0,rechts,30.06.2030,PSV Eindhoven,35000000.0,Offensives Mittelfeld,30000000.0,2026,bayer-04-leverkusen
Jonas Hofmann,7,1992-07-14,34,Deutschland,176.0,rechts,30.06.2027,Borussia Mönchengladbach,10000000.0,Offensives Mittelfeld,1500000.0,2026,bayer-04-leverkusen
Afonso Moreira,9,2005-03-19,21,Portugal,176.0,rechts,30.06.2031,Olympique Lyon,29500000.0,Linksaußen,20000000.0,2026,bayer-04-leverkusen
Eliesse Ben Seghir,17,2005-02-16,21,Marokko,178.0,rechts,30.06.2030,AS Monaco,32000000.0,Linksaußen,20000000.0,2026,bayer-04-leverkusen
Martin Terrier,11,1997-03-04,29,Frankreich,184.0,rechts,30.06.2029,FC Stade Rennes,20000000.0,Linksaußen,8000000.0,2026,bayer-04-leverkusen
Ernest Poku,19,2004-01-28,22,Niederlande,176.0,rechts,30.06.2030,AZ Alkmaar,10000000.0,Rechtsaußen,25000000.0,2026,bayer-04-leverkusen
Nathan Tella,23,1999-07-05,27,Nigeria,173.0,rechts,30.06.2031,FC Southampton,23300000.0,Rechtsaußen,15000000.0,2026,bayer-04-leverkusen
Montrell Culbreath,42,2007-08-29,18,Deutschland,172.0,rechts,30.06.2031,Bayer 04 Leverkusen U19,,Rechtsaußen,15000000.0,2026,bayer-04-leverkusen
Farid Alfa-Ruprecht,29,2006-03-28,20,Deutschland,181.0,rechts,30.06.2030,Manchester City U21,1300000.0,Rechtsaußen,3000000.0,2026,bayer-04-leverkusen
Christian Kofane,35,2006-07-26,20,Kamerun,189.0,rechts,30.06.2029,Albacete Balompié,5250000.0,Mittelstürmer,40000000.0,2026,bayer-04-leverkusen
Patrik Schick,14,1996-01-24,30,Tschechien,191.0,links,30.06.2030,AS Rom,26500000.0,Mittelstürmer,18000000.0,2026,bayer-04-leverkusen
Aleksa Damjanovic,,2008-12-04,17,Serbien,199.0,links,30.06.2029,Roter Stern Belgrad,5000000.0,Mittelstürmer,5000000.0,2026,bayer-04-leverkusen
Victor Boniface,22,2000-12-23,25,Nigeria,190.0,rechts,30.06.2028,Union Saint-Gilloise,22600000.0,Mittelstürmer,5000000.0,2026,bayer-04-leverkusen
Ndjicoura Bomba,,2008-03-12,18,Mali,187.0,,30.06.2030,Club Sportif de Bamako,1500000.0,Mittelstürmer,,2026,bayer-04-leverkusen
Dennis Seimen,41,2005-12-01,20,Deutschland,192.0,links,30.06.2029,VfB Stuttgart U19,,Torwart,10000000.0,2026,vfb-stuttgart
Fabian Bredlow,1,1995-03-02,31,Deutschland,190.0,beidfüßig,30.06.2027,1.FC Nürnberg,300000.0,Torwart,700000.0,2026,vfb-stuttgart
Marius Funk,33,1996-01-01,30,Deutschland,187.0,rechts,30.06.2028,FC Energie Cottbus,,Torwart,300000.0,2026,vfb-stuttgart
Stefan Drljaca,46,1999-04-20,27,Deutschland,192.0,rechts,30.06.2027,SG Dynamo Dresden,,Torwart,300000.0,2026,vfb-stuttgart
Finn Jeltsch,29,2006-07-17,20,Deutschland,188.0,rechts,30.06.2030,1.FC Nürnberg,9500000.0,Innenverteidiger,35000000.0,2026,vfb-stuttgart
Ramon Hendriks,3,2001-07-18,25,Niederlande,189.0,links,30.06.2028,Feyenoord Rotterdam,1000000.0,Innenverteidiger,25000000.0,2026,vfb-stuttgart
Jeff Chabot,24,1998-02-12,28,Deutschland,195.0,links,30.06.2028,1.FC Köln,4000000.0,Innenverteidiger,15000000.0,2026,vfb-stuttgart
Luca Jaquez,14,2003-06-02,23,Schweiz,187.0,rechts,30.06.2029,FC Luzern,6500000.0,Innenverteidiger,10000000.0,2026,vfb-stuttgart
Ameen Al-Dakhil,2,2002-03-06,24,Belgien,187.0,rechts,30.06.2028,FC Burnley,9000000.0,Innenverteidiger,3000000.0,2026,vfb-stuttgart
Dan-Axel Zagadou,23,1999-06-03,27,Frankreich,196.0,links,30.06.2027,Vereinslos,,Innenverteidiger,2000000.0,2026,vfb-stuttgart
Maximilian Mittelstädt,7,1997-03-18,29,Deutschland,180.0,links,30.06.2028,Hertha BSC,500000.0,Linker Verteidiger,18000000.0,2026,vfb-stuttgart
Josha Vagnoman,4,2000-12-11,25,Deutschland,190.0,rechts,30.06.2028,Hamburger SV,4500000.0,Rechter Verteidiger,10000000.0,2026,vfb-stuttgart
Lorenz Assignon,22,2000-06-22,26,Frankreich,181.0,rechts,30.06.2029,FC Stade Rennes,12000000.0,Rechter Verteidiger,9000000.0,2026,vfb-stuttgart
Leonidas Stergiou,20,2002-03-03,24,Schweiz,181.0,rechts,30.06.2028,FC St. Gallen 1879,2000000.0,Rechter Verteidiger,2500000.0,2026,vfb-stuttgart
Christopher Olivier,31,2006-01-31,20,Österreich,187.0,rechts,30.06.2028,,,Rechter Verteidiger,1200000.0,2026,vfb-stuttgart
Angelo Stiller,6,2001-04-04,25,Deutschland,183.0,links,30.06.2028,TSG 1899 Hoffenheim,5500000.0,Defensives Mittelfeld,45000000.0,2026,vfb-stuttgart
Chema Andrés,30,2005-04-25,21,Spanien,190.0,rechts,30.06.2030,Real Madrid Castilla,3000000.0,Defensives Mittelfeld,20000000.0,2026,vfb-stuttgart
Atakan Karazor,16,1996-10-13,29,Türkei,191.0,rechts,30.06.2028,Holstein Kiel,800000.0,Defensives Mittelfeld,8000000.0,2026,vfb-stuttgart
Mirza Catovic,35,2007-05-01,19,Deutschland,190.0,links,30.06.2028,VfB Stuttgart II,,Defensives Mittelfeld,4000000.0,2026,vfb-stuttgart
Nikolas Nartey,28,2000-02-22,26,Dänemark,186.0,links,30.06.2028,1.FC Köln,,Zentrales Mittelfeld,10000000.0,2026,vfb-stuttgart
Grischa Prömel,21,1995-01-09,31,Deutschland,184.0,rechts,30.06.2029,TSG 1899 Hoffenheim,,Zentrales Mittelfeld,3500000.0,2026,vfb-stuttgart
Yanik Spalt,47,2007-09-03,18,Österreich,184.0,links,30.06.2028,,,Zentrales Mittelfeld,750000.0,2026,vfb-stuttgart
Ertugrul Yigit,39,2009-01-08,17,Deutschland,,rechts,30.06.2029,VfB Stuttgart U19,,Zentrales Mittelfeld,,2026,vfb-stuttgart
Bilal El Khannouss,11,2004-05-10,22,Marokko,180.0,rechts,30.06.2030,Leicester City,15000000.0,Offensives Mittelfeld,35000000.0,2026,vfb-stuttgart
Laurin Ulrich,38,2005-01-31,21,Deutschland,180.0,rechts,30.06.2027,VfB Stuttgart II,,Offensives Mittelfeld,3500000.0,2026,vfb-stuttgart
Chris Führich,10,1998-01-09,28,Deutschland,181.0,rechts,30.06.2028,SC Paderborn 07,2500000.0,Linksaußen,12000000.0,2026,vfb-stuttgart
Leo Sauer,44,2005-12-16,20,Slowakei,184.0,rechts,30.06.2031,Feyenoord Rotterdam,15000000.0,Linksaußen,7000000.0,2026,vfb-stuttgart
Jarzinho Malanga,43,2006-07-10,20,Deutschland,179.0,rechts,30.06.2028,VfB Stuttgart II,,Linksaußen,1700000.0,2026,vfb-stuttgart
Justin Diehl,17,2004-11-27,21,Deutschland,174.0,rechts,30.06.2029,1.FC Köln,,Linksaußen,1200000.0,2026,vfb-stuttgart
Jamie Leweling,18,2001-02-26,25,Deutschland,185.0,beidfüßig,30.06.2029,1.FC Union Berlin,6000000.0,Rechtsaußen,40000000.0,2026,vfb-stuttgart
Tiago Tomás,8,2002-06-16,24,Portugal,180.0,rechts,30.06.2029,VfL Wolfsburg,13000000.0,Rechtsaußen,15000000.0,2026,vfb-stuttgart
Badredine Bouanani,27,2004-12-08,21,Algerien,177.0,links,30.06.2030,OGC Nizza,15000000.0,Rechtsaußen,10000000.0,2026,vfb-stuttgart
Lazar Jovanovic,45,2006-11-30,19,Serbien,184.0,links,30.06.2029,Roter Stern Belgrad,5000000.0,Rechtsaußen,3500000.0,2026,vfb-stuttgart
Ermedin Demirovic,9,1998-03-25,28,Bosnien-Herzegowina,185.0,rechts,30.06.2028,FC Augsburg,23000000.0,Mittelstürmer,22000000.0,2026,vfb-stuttgart
